pl_name,pl_bmassj,pl_orbper,discoverymethod
"Kepler-1256 b",0.00889000,12.41277540000,"Transit"
"G 264-012 b",0.00786588,2.30538000000,"Radial Velocity"
"GJ 143 b",0.07142183,35.61253000000,"Transit"
"K2-10 b",0.07928807,19.30553000000,"Transit"
"Kepler-182 b",0.02260000,9.82579200000,"Transit"
"TOI-1659.01",0.01800000,5.87755632800,"Transit"
"Kepler-19 d",0.07079256,62.95000000000,"Radial Velocity"
"TOI-237 c",0.00598000,1.74486147000,"Transit"
"KMT-2016-BLG-2142L b",15.49000000,,"Microlensing"
"Kepler-564 b",0.06090000,3.75083228500,"Transit"
"Kepler-878 b",0.01380000,25.94220330000,"Transit"
"Kepler-228 b",0.00930000,2.56654600000,"Transit"
"HD 6434 b",0.49000000,21.99800000000,"Radial Velocity"
"CoRoT-7 b",0.01282637,0.85359163000,"Transit"
"TOI-2969 b",1.16000000,1.82371460000,"Transit"
"Kepler-610 c",0.03430000,151.86392000000,"Transit"
"Kepler-1473 b",0.00570000,14.42735510000,"Transit"
"Kepler-447 b",1.37000000,7.79430132000,"Transit"
"Kepler-290 d",0.00178000,0.76401755300,"Transit"
"HD 34445 e",0.05290000,49.17500000000,"Radial Velocity"
"Kepler-384 c",0.00474000,45.34826900000,"Transit"
"HD 120084 b",6.40000000,2142.00000000000,"Radial Velocity"
"Kepler-468 b",,38.47875706700,"Transit"
"Kepler-191 b",0.00742000,9.93963200000,"Transit"
"GJ 680 b",25.10000000,17281.66514000000,"Radial Velocity"
"Kepler-917 b",0.01360000,2.97041437500,"Transit"
"TOI-1224 c",0.02730000,17.94546600000,"Transit"
"TOI-1422 b",0.02989034,12.99894000000,"Transit"
"Kepler-980 b",0.02390000,11.55102504000,"Transit"
"HATS-59 b",0.80600000,5.41608100000,"Transit"
"HD 73267 c",5.13100000,17071.78045000000,"Radial Velocity"
"Kepler-580 b",0.02240000,8.22241965600,"Transit"
"HD 152843 c",0.03042522,19.50210400000,"Transit"
"HD 217786 c",0.02300000,2.52221000000,"Radial Velocity"
"HR 8799 c",10.00000000,69000.00000000000,"Imaging"
"TOI-4342 b",0.02296837,5.53825920000,"Transit"
"Kepler-193 c",0.02520000,50.69749400000,"Transit"
"K2-269 b",0.00972000,4.14496500000,"Transit"
"KOI-12 b",1.10000000,17.85518200000,"Transit"
"Kepler-1773 b",0.03800000,40.80970001000,"Transit"
"NGTS-16 b",0.66700000,4.84532000000,"Transit"
"Kepler-637 b",0.06360000,23.20584623000,"Transit"
"HD 113337 c",19.82100000,5429.93477000000,"Radial Velocity"
"K2-30 b",0.57900000,4.09850300000,"Transit"
"Kepler-1675 b",0.03130000,63.03820000000,"Transit"
"Gaia22dkvL b",0.59100000,,"Microlensing"
"Kepler-1788 b",0.01970000,2.80012011500,"Transit"
"Kepler-497 b",0.09570000,3.57320367100,"Transit"
"Kepler-179 c",0.01470000,6.40013000000,"Transit"
"HD 87646 b",12.40000000,13.48100000000,"Radial Velocity"
"KMT-2024-BLG-0404L c",0.05443189,,"Microlensing"
"Kepler-139 e",1.18932100,2047.63537300000,"Radial Velocity"
"HD 29985 b",5.47300000,20608.14049000000,"Radial Velocity"
"Kepler-668 b",0.02440000,8.35390639000,"Transit"
"Kepler-56 d",5.61000000,1002.00000000000,"Radial Velocity"
"Kepler-205 b",0.00909000,2.75564000000,"Transit"
"Kepler-1156 b",0.00724000,11.89520511000,"Transit"
"HR 858 c",0.01195614,5.97386500000,"Transit"
"Kepler-989 b",0.01740000,7.96431535200,"Transit"
"HD 165155 b",2.89000000,434.50000000000,"Radial Velocity"
"K2-351 b",0.02200000,7.80616400000,"Transit"
"HD 22946 d",0.08359857,47.42489000000,"Transit"
"HD 13908 b",0.86500000,19.38200000000,"Radial Velocity"
"Kepler-1446 b",0.00150000,0.68996783200,"Transit"
"Kepler-1697 b",0.00668000,33.49690000000,"Transit"
"HD 11112 b",8.17600000,17244.90764000000,"Radial Velocity"
"Kepler-674 b",0.01100000,2.24338184700,"Transit"
"Kepler-1269 b",0.01040000,37.33315360000,"Transit"
"Kepler-1576 b",0.00352000,6.98471973000,"Transit"
"Kepler-1796 b",0.02520000,29.45579910000,"Transit"
"Kepler-972 b",0.06140000,7.03932553000,"Transit"
"Kepler-1508 b",0.00733000,20.70565040000,"Transit"
"Kepler-293 c",0.04420000,54.15574300000,"Transit"
"AF Lep b",3.61000000,8905.00000000000,"Imaging"
"Kepler-873 b",0.04260000,20.55338440000,"Transit"
"Kepler-669 b",0.06550000,4.12554686900,"Transit"
"Kepler-783 b",0.00126000,4.29264638000,"Transit"
"Kepler-142 d",0.01670000,41.80911800000,"Transit"
"Kepler-1297 b",0.00274000,1.68189002000,"Transit"
"HD 126525 b",0.23700000,960.41000000000,"Radial Velocity"
"Kepler-319 d",0.01840000,31.78192500000,"Transit"
"Kepler-1427 b",0.00430000,0.96897237600,"Transit"
"Kepler-1959 b",0.00494000,6.38669014000,"Transit"
"HD 109271 b",0.05400000,7.85430000000,"Radial Velocity"
"HD 100546 b",8.50000000,,"Imaging"
"HD 158996 b",14.00000000,820.20000000000,"Radial Velocity"
"Kepler-1264 b",0.00553000,0.96852602300,"Transit"
"HD 100777 b",1.23000000,383.00000000000,"Radial Velocity"
"Kepler-553 b",0.36500000,4.03046700000,"Transit"
"HD 31527 c",0.04450000,51.20530000000,"Radial Velocity"
"K2-44 b",0.02040000,5.65700000000,"Transit"
"Kepler-1955 b",0.00531000,14.26519966000,"Transit"
"Kepler-537 b",0.00809000,3.24755521900,"Transit"
"HD 217786 b",13.85200000,1301.36009000000,"Radial Velocity"
"Kepler-1968 b",0.00899000,7.28109979600,"Transit"
"Kepler-322 c",0.01080000,4.33723400000,"Transit"
"OGLE-TR-132 b",1.18000000,1.68986800000,"Transit"
"Kepler-1684 b",0.02710000,47.70550000000,"Transit"
"HATS-66 b",5.33000000,3.14143910000,"Transit"
"Kepler-171 b",0.01910000,4.16697200000,"Transit"
"Kepler-1021 b",0.01900000,13.47469571000,"Transit"
"Kepler-1399 b",0.00660000,1.63865305800,"Transit"
"TOI-7041 b",0.36000000,9.69100000000,"Transit"
"OGLE-2014-BLG-0676L b",3.68000000,,"Microlensing"
"K2-319 b",0.02580000,26.68000000000,"Transit"
"Kepler-414 c",0.09400000,7.17100000000,"Transit Timing Variations"
"HD 210193 b",0.48170406,649.91800000000,"Radial Velocity"
"Kepler-1952 b",0.00650000,27.21080017000,"Transit"
"HD 34445 f",0.11900000,676.80000000000,"Radial Velocity"
"V0391 Peg b",3.20000000,1170.00000000000,"Pulsation Timing Variations"
"Kepler-1633 b",0.00982000,186.40427100000,"Transit"
"Kepler-242 c",0.01470000,14.49648100000,"Transit"
"Qatar-5 b",4.32000000,2.87923190000,"Transit"
"K2-348 c",0.02390000,12.55017100000,"Transit"
"K2-132 b",0.49000000,9.17510000000,"Transit"
"Kepler-399 c",0.00829000,26.67569000000,"Transit"
