pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"HD 190984 b",3.58000000,1137.82569706,4885.00000000000,"Radial Velocity"
"Kepler-134 c",0.00669000,2.13000000,10.10578500000,"Transit"
"Kepler-210 b",0.02820000,8.96000000,2.45323400000,"Transit"
"Kepler-422 b",0.43000000,136.66000000,7.89144830000,"Transit"
"Kepler-426 b",0.34000000,108.06000000,3.21751883000,"Transit"
"Kepler-16 b",0.33300000,105.83300000,228.77600000000,"Transit"
"KOI-94 d",0.33400000,106.00000000,22.34298900000,"Transit"
"KOI-94 b",0.03300000,10.50000000,3.74320800000,"Transit"
"Kepler-35 b",0.12700000,40.36300000,131.45800000000,"Transit"
"HD 103774 b",0.36700000,116.00000000,5.88810000000,"Radial Velocity"
"HD 109271 b",0.05400000,17.16200000,7.85430000000,"Radial Velocity"
"Kepler-415 c",0.01480000,4.70000000,8.70800000000,"Transit Timing Variations"
"HD 50554 b",5.85000000,1859.29618095,1293.00000000000,"Radial Velocity"
"Kepler-428 b",1.27000000,403.63000000,3.52563254000,"Transit"
"Kepler-425 b",0.25000000,79.45000000,3.79701816000,"Transit"
"WASP-70 A b",0.59000000,187.51200000,3.71302030000,"Transit"
"KOI-94 e",0.11000000,35.00000000,54.32031000000,"Transit"
"Kepler-396 c",0.05600000,17.90000000,88.50500000000,"Transit"
"MOA-2010-BLG-477L b",1.50000000,480.00000000,,"Microlensing"
"Kepler-290 c",0.02440000,7.75000000,36.77031000000,"Transit"
"Kepler-290 b",0.01790000,5.69000000,14.58934700000,"Transit"
"HD 166724 b",3.80000000,1207.74794660,5144.00000000000,"Radial Velocity"
"Kepler-122 f",0.11300000,36.00000000,56.26800000000,"Transit Timing Variations"
"Kepler-96 b",0.02700000,8.46000000,16.23850000000,"Transit"
"KOI-13 b",9.28000000,2949.46240000,1.76358800000,"Transit"
"Kepler-17 b",2.45000000,778.65000000,1.48571080000,"Transit"
"Kepler-784 b",0.00982000,3.12000000,31.59226460000,"Transit"
"Kepler-880 b",0.02380000,7.56000000,7.71468975000,"Transit"
"CoRoT-23 b",2.80000000,889.90000000,3.63130000000,"Transit"
"BD+20 274 b",4.20000000,1334.88600000,578.20000000000,"Radial Velocity"
"HD 219415 b",1.00000000,317.83000000,2093.30000000000,"Radial Velocity"
"HD 150706 b",2.43000000,772.32302901,5894.00000000000,"Radial Velocity"
"OGLE-2011-BLG-0251L b",0.53000000,170.00000000,,"Microlensing"
"Kepler-414 c",0.09400000,29.90000000,7.17100000000,"Transit Timing Variations"
"HAT-P-1 b",0.52500000,166.86075000,4.46529976000,"Transit"
"Kepler-42 c",0.18984143,60.33700000,0.45328509000,"Transit"
"Kepler-33 c",0.00122707,0.39000000,13.17562000000,"Transit"
"Kepler-641 b",0.01280000,4.08000000,9.48961571000,"Transit"
"Kepler-410 A b",0.02650000,8.44000000,17.83364800000,"Transit"
"Kepler-314 c",0.02750000,8.75000000,5.96039200000,"Transit"
